 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.76E-07 8.68E-17 5.08E-07 9.01E-17 9.09E-09 7.97E-23 1.52E-07 2.38E-22 4.48E-12 1.32E-06 1.65E-14 2.164E-06
9.000E-01 2.06E-07 1.32E-16 6.00E-07 1.37E-16 1.16E-08 1.21E-22 1.81E-07 3.62E-22 5.53E-12 1.53E-06 2.51E-14 2.532E-06
8.000E-01 2.46E-07 2.12E-16 7.22E-07 2.20E-16 1.51E-08 1.95E-22 2.20E-07 5.80E-22 7.00E-12 1.82E-06 4.01E-14 3.022E-06
7.000E-01 3.01E-07 3.61E-16 8.93E-07 3.75E-16 2.03E-08 3.32E-22 2.71E-07 9.90E-22 9.14E-12 2.21E-06 6.83E-14 3.691E-06
6.000E-01 3.81E-07 6.69E-16 1.14E-06 6.96E-16 2.82E-08 6.15E-22 3.48E-07 1.83E-21 1.24E-11 2.76E-06 1.26E-13 4.658E-06
5.500E-01 4.35E-07 9.47E-16 1.31E-06 9.85E-16 3.37E-08 8.71E-22 4.01E-07 2.60E-21 1.48E-11 3.13E-06 1.79E-13 5.316E-06
5.000E-01 5.04E-07 1.39E-15 1.53E-06 1.44E-15 4.09E-08 1.28E-21 4.65E-07 3.80E-21 1.79E-11 3.60E-06 2.61E-13 6.141E-06
4.500E-01 5.94E-07 2.11E-15 1.81E-06 2.20E-15 5.03E-08 1.94E-21 5.54E-07 5.79E-21 2.21E-11 4.21E-06 3.98E-13 7.215E-06
4.000E-01 7.14E-07 3.38E-15 2.18E-06 3.52E-15 6.31E-08 3.11E-21 6.66E-07 9.27E-21 2.80E-11 5.01E-06 6.36E-13 8.636E-06
3.500E-01 8.81E-07 5.77E-15 2.71E-06 6.01E-15 8.08E-08 5.31E-21 8.34E-07 1.58E-20 3.66E-11 6.11E-06 1.08E-12 1.061E-05
3.000E-01 1.13E-06 1.07E-14 3.47E-06 1.11E-14 1.06E-07 9.84E-21 1.06E-06 2.93E-20 4.98E-11 7.69E-06 2.00E-12 1.346E-05
2.500E-01 1.51E-06 2.21E-14 4.67E-06 2.31E-14 1.45E-07 2.04E-20 1.42E-06 6.07E-20 7.17E-11 1.01E-05 4.13E-12 1.787E-05
2.098E-01 2.00E-06 4.46E-14 6.21E-06 4.66E-14 1.93E-07 4.11E-20 1.89E-06 1.22E-19 1.02E-10 1.32E-05 8.30E-12 2.352E-05
1.500E-01 3.48E-06 1.70E-13 1.07E-05 1.78E-13 3.68E-07 1.57E-19 3.24E-06 4.67E-19 1.99E-10 2.22E-05 3.16E-11 4.002E-05
1.382E-01 3.99E-06 2.36E-13 1.23E-05 2.47E-13 4.34E-07 2.18E-19 3.71E-06 6.48E-19 2.35E-10 2.52E-05 4.37E-11 4.565E-05
1.320E-01 4.31E-06 2.84E-13 1.33E-05 2.97E-13 4.75E-07 2.63E-19 3.99E-06 7.79E-19 2.57E-10 2.71E-05 5.25E-11 4.914E-05
1.150E-01 5.45E-06 4.93E-13 1.66E-05 5.15E-13 6.23E-07 4.56E-19 4.99E-06 1.35E-18 3.39E-10 3.37E-05 9.08E-11 6.139E-05
1.000E-01 6.93E-06 8.61E-13 2.09E-05 9.02E-13 8.18E-07 7.97E-19 6.23E-06 2.36E-18 4.48E-10 4.21E-05 1.58E-10 7.703E-05
9.970E-02 6.97E-06 8.72E-13 2.10E-05 9.13E-13 8.23E-07 8.06E-19 6.26E-06 2.39E-18 4.51E-10 4.23E-05 1.60E-10 7.742E-05
8.670E-02 8.77E-06 1.52E-12 2.65E-05 1.60E-12 1.09E-06 1.41E-18 7.85E-06 4.18E-18 5.96E-10 5.26E-05 2.79E-10 9.683E-05
8.500E-02 9.09E-06 1.65E-12 2.74E-05 1.73E-12 1.13E-06 1.53E-18 8.11E-06 4.52E-18 6.20E-10 5.44E-05 3.02E-10 1.001E-04
7.500E-02 1.15E-05 2.72E-12 3.37E-05 2.85E-12 1.44E-06 2.52E-18 9.90E-06 7.46E-18 7.97E-10 6.79E-05 4.97E-10 1.245E-04
6.000E-02 1.70E-05 6.64E-12 4.87E-05 7.01E-12 2.21E-06 6.15E-18 1.44E-05 1.82E-17 1.25E-09 9.62E-05 1.20E-09 1.784E-04
5.500E-02 1.97E-05 9.41E-12 5.46E-05 9.97E-12 2.61E-06 8.70E-18 1.68E-05 2.58E-17 1.48E-09 1.11E-04 1.70E-09 2.044E-04
5.000E-02 2.34E-05 1.38E-11 6.76E-05 1.47E-11 3.11E-06 1.27E-17 1.99E-05 3.78E-17 1.79E-09 1.31E-04 2.49E-09 2.453E-04
4.500E-02 2.88E-05 2.10E-11 8.96E-05 2.26E-11 3.80E-06 1.94E-17 2.44E-05 5.77E-17 2.21E-09 1.60E-04 3.79E-09 3.066E-04
4.000E-02 3.70E-05 3.38E-11 1.20E-04 3.65E-11 4.73E-06 3.11E-17 3.08E-05 9.25E-17 2.80E-09 2.00E-04 6.05E-09 3.929E-04
3.500E-02 4.64E-05 5.76E-11 1.82E-04 6.29E-11 6.06E-06 5.31E-17 4.08E-05 1.58E-16 3.66E-09 2.46E-04 1.03E-08 5.212E-04
3.000E-02 6.56E-05 1.07E-10 2.84E-04 1.17E-10 8.08E-06 9.83E-17 5.72E-05 2.93E-16 4.99E-09 3.35E-04 1.89E-08 7.501E-04
2.750E-02 7.83E-05 1.52E-10 3.58E-04 1.66E-10 9.52E-06 1.39E-16 6.99E-05 4.16E-16 5.94E-09 3.89E-04 2.66E-08 9.049E-04
2.500E-02 9.43E-05 2.23E-10 4.56E-04 2.43E-10 1.14E-05 2.04E-16 8.76E-05 6.09E-16 7.18E-09 4.63E-04 3.89E-08 1.112E-03
2.400E-02 1.04E-04 2.63E-10 5.04E-04 2.86E-10 1.23E-05 2.40E-16 9.56E-05 7.16E-16 7.80E-09 4.96E-04 4.56E-08 1.212E-03
2.000E-02 1.52E-04 5.50E-10 7.84E-04 5.82E-10 1.74E-05 4.99E-16 1.39E-04 1.48E-15 1.12E-08 6.92E-04 9.36E-08 1.783E-03
1.800E-02 1.89E-04 8.45E-10 9.71E-04 8.71E-10 2.14E-05 7.61E-16 1.72E-04 2.26E-15 1.39E-08 8.44E-04 1.42E-07 2.198E-03
1.600E-02 2.52E-04 1.37E-09 1.21E-03 1.36E-09 2.71E-05 1.22E-15 2.20E-04 3.63E-15 1.76E-08 1.05E-03 2.25E-07 2.759E-03
1.500E-02 3.00E-04 1.78E-09 1.35E-03 1.74E-09 3.09E-05 1.58E-15 2.49E-04 4.70E-15 2.00E-08 1.19E-03 2.88E-07 3.122E-03
1.400E-02 3.41E-04 2.35E-09 1.51E-03 2.26E-09 3.56E-05 2.09E-15 2.88E-04 6.19E-15 2.30E-08 1.32E-03 3.77E-07 3.496E-03
1.200E-02 5.22E-04 4.40E-09 1.92E-03 4.04E-09 4.96E-05 3.89E-15 3.94E-04 1.15E-14 3.14E-08 1.75E-03 6.78E-07 4.640E-03
1.000E-02 7.93E-04 9.25E-09 2.53E-03 7.97E-09 7.50E-05 8.12E-15 5.76E-04 2.39E-14 4.55E-08 2.35E-03 1.37E-06 6.326E-03
9.000E-03 1.06E-03 1.43E-08 2.88E-03 1.18E-08 9.63E-05 1.24E-14 7.18E-04 3.64E-14 5.63E-08 2.83E-03 2.04E-06 7.584E-03
8.000E-03 1.40E-03 2.24E-08 3.33E-03 1.86E-08 1.29E-04 2.01E-14 9.21E-04 5.84E-14 7.17E-08 3.31E-03 3.15E-06 9.090E-03
7.500E-03 1.63E-03 2.93E-08 3.69E-03 2.40E-08 1.52E-04 2.61E-14 1.06E-03 7.56E-14 8.18E-08 3.72E-03 4.04E-06 1.025E-02
7.000E-03 1.97E-03 3.82E-08 4.13E-03 3.14E-08 1.82E-04 3.46E-14 1.22E-03 9.96E-14 9.43E-08 4.14E-03 5.19E-06 1.165E-02
6.000E-03 2.79E-03 6.87E-08 5.29E-03 5.72E-08 2.81E-04 6.53E-14 1.70E-03 1.84E-13 1.30E-07 5.23E-03 9.18E-06 1.530E-02
5.000E-03 3.90E-03 1.32E-07 7.48E-03 1.16E-07 4.93E-04 1.39E-13 2.51E-03 3.81E-13 1.91E-07 6.77E-03 1.80E-05 2.118E-02
4.500E-03 4.73E-03 1.88E-07 9.12E-03 1.72E-07 6.97E-04 2.14E-13 3.14E-03 5.77E-13 2.40E-07 7.91E-03 2.63E-05 2.562E-02
4.000E-03 5.52E-03 2.75E-07 1.13E-02 2.56E-07 1.02E-03 3.40E-13 4.01E-03 9.15E-13 3.13E-07 9.28E-03 4.01E-05 3.116E-02
3.500E-03 6.55E-03 4.27E-07 1.38E-02 4.01E-07 1.42E-03 5.44E-13 5.22E-03 1.54E-12 4.29E-07 1.12E-02 6.50E-05 3.826E-02
3.000E-03 7.88E-03 6.89E-07 1.68E-02 6.37E-07 1.50E-03 8.51E-13 7.14E-03 2.81E-12 6.47E-07 1.40E-02 1.12E-04 4.738E-02
2.750E-03 8.52E-03 8.92E-07 1.83E-02 8.16E-07 1.29E-03 1.10E-12 8.58E-03 3.92E-12 8.65E-07 1.57E-02 1.50E-04 5.253E-02
2.500E-03 9.07E-03 1.18E-06 1.99E-02 1.06E-06 1.02E-03 1.51E-12 1.05E-02 5.65E-12 1.41E-06 1.78E-02 2.07E-04 5.850E-02
2.400E-03 9.36E-03 1.34E-06 2.05E-02 1.19E-06 9.11E-04 1.75E-12 1.15E-02 6.56E-12 1.95E-06 1.88E-02 2.37E-04 6.128E-02
2.350E-03 9.54E-03 1.43E-06 2.09E-02 1.26E-06 8.61E-04 1.90E-12 1.20E-02 7.08E-12 2.29E-06 1.94E-02 2.54E-04 6.288E-02
2.320E-03 9.63E-03 1.48E-06 2.11E-02 1.30E-06 8.33E-04 1.99E-12 1.23E-02 7.42E-12 2.47E-06 1.97E-02 2.64E-04 6.384E-02
2.310E-03 9.66E-03 1.50E-06 2.12E-02 1.32E-06 8.24E-04 2.02E-12 1.24E-02 7.53E-12 2.51E-06 1.98E-02 2.68E-04 6.417E-02
