 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   1.080E-08   3.794E-08   1.594E-07   2.164E-06
   9.000E-01   1.265E-08   4.479E-08   1.854E-07   2.532E-06
   8.000E-01   1.511E-08   5.396E-08   2.196E-07   3.022E-06
   7.000E-01   1.851E-08   6.668E-08   2.662E-07   3.691E-06
   6.000E-01   2.342E-08   8.522E-08   3.329E-07   4.658E-06
   5.500E-01   2.677E-08   9.791E-08   3.779E-07   5.316E-06
   5.000E-01   3.101E-08   1.140E-07   4.343E-07   6.141E-06
   4.500E-01   3.652E-08   1.350E-07   5.070E-07   7.215E-06
   4.000E-01   4.389E-08   1.631E-07   6.029E-07   8.636E-06
   3.500E-01   5.414E-08   2.023E-07   7.350E-07   1.061E-05
   3.000E-01   6.913E-08   2.595E-07   9.246E-07   1.346E-05
   2.500E-01   9.257E-08   3.488E-07   1.216E-06   1.787E-05
   2.098E-01   1.230E-07   4.638E-07   1.586E-06   2.352E-05
   1.500E-01   2.137E-07   8.029E-07   2.656E-06   4.002E-05
   1.382E-01   2.451E-07   9.180E-07   3.017E-06   4.565E-05
   1.320E-01   2.648E-07   9.898E-07   3.241E-06   4.914E-05
   1.150E-01   3.344E-07   1.242E-06   4.026E-06   6.139E-05
   1.000E-01   4.252E-07   1.562E-06   5.029E-06   7.703E-05
   9.970E-02   4.275E-07   1.570E-06   5.054E-06   7.742E-05
   8.670E-02   5.382E-07   1.981E-06   6.270E-06   9.683E-05
   8.500E-02   5.575E-07   2.048E-06   6.484E-06   1.001E-04
   7.500E-02   7.074E-07   2.520E-06   8.087E-06   1.245E-04
   6.000E-02   1.040E-06   3.647E-06   1.143E-05   1.784E-04
   5.500E-02   1.205E-06   4.094E-06   1.317E-05   2.044E-04
   5.000E-02   1.435E-06   5.092E-06   1.558E-05   2.453E-04
   4.500E-02   1.769E-06   6.768E-06   1.897E-05   3.066E-04
   4.000E-02   2.274E-06   9.085E-06   2.373E-05   3.929E-04
   3.500E-02   2.851E-06   1.388E-05   2.903E-05   5.212E-04
   3.000E-02   4.031E-06   2.168E-05   3.947E-05   7.501E-04
   2.750E-02   4.813E-06   2.727E-05   4.580E-05   9.049E-04
   2.500E-02   5.803E-06   3.468E-05   5.442E-05   1.112E-03
   2.400E-02   6.373E-06   3.835E-05   5.825E-05   1.212E-03
   2.000E-02   9.354E-06   5.902E-05   8.082E-05   1.783E-03
   1.800E-02   1.169E-05   7.246E-05   9.846E-05   2.198E-03
   1.600E-02   1.560E-05   8.894E-05   1.225E-04   2.759E-03
   1.500E-02   1.863E-05   9.895E-05   1.377E-04   3.122E-03
   1.400E-02   2.120E-05   1.101E-04   1.520E-04   3.496E-03
   1.200E-02   3.254E-05   1.373E-04   1.996E-04   4.640E-03
   1.000E-02   4.957E-05   1.759E-04   2.652E-04   6.326E-03
   9.000E-03   6.622E-05   1.974E-04   3.165E-04   7.584E-03
   8.000E-03   8.670E-05   2.269E-04   3.641E-04   9.090E-03
   7.500E-03   1.017E-04   2.500E-04   4.077E-04   1.025E-02
   7.000E-03   1.217E-04   2.784E-04   4.491E-04   1.165E-02
   6.000E-03   1.704E-04   3.515E-04   5.561E-04   1.530E-02
   5.000E-03   2.305E-04   4.854E-04   7.023E-04   2.118E-02
   4.500E-03   2.714E-04   5.776E-04   8.042E-04   2.562E-02
   4.000E-03   3.050E-04   6.778E-04   9.216E-04   3.116E-02
   3.500E-03   3.466E-04   7.785E-04   1.083E-03   3.826E-02
   3.000E-03   3.901E-04   8.500E-04   1.299E-03   4.738E-02
   2.750E-03   4.043E-04   8.661E-04   1.422E-03   5.253E-02
   2.500E-03   4.107E-04   8.707E-04   1.559E-03   5.850E-02
   2.400E-03   4.170E-04   8.701E-04   1.618E-03   6.128E-02
   2.350E-03   4.206E-04   8.703E-04   1.650E-03   6.288E-02
   2.320E-03   4.219E-04   8.706E-04   1.667E-03   6.384E-02
   2.310E-03   4.224E-04   8.710E-04   1.672E-03   6.417E-02
   2.300E-03   4.230E-04   8.706E-04   1.678E-03   6.449E-02
   2.250E-03   4.238E-04   8.723E-04   1.710E-03   6.627E-02
   2.200E-03   4.250E-04   8.728E-04   1.738E-03   6.822E-02
   2.150E-03   4.278E-04   8.711E-04   1.763E-03   7.023E-02
   2.120E-03   4.291E-04   8.661E-04   1.778E-03   7.149E-02
   2.110E-03   4.291E-04   8.645E-04   1.782E-03   7.192E-02
   2.100E-03   4.288E-04   8.622E-04   1.786E-03   7.234E-02
   2.080E-03   4.276E-04   8.559E-04   1.790E-03   7.308E-02
   2.000E-03   4.262E-04   8.274E-04   1.818E-03   7.637E-02
   1.950E-03   4.279E-04   7.968E-04   1.812E-03   7.835E-02
   1.900E-03   4.323E-04   7.570E-04   1.792E-03   7.983E-02
   1.850E-03   4.365E-04   7.070E-04   1.749E-03   8.044E-02
   1.830E-03   4.381E-04   6.843E-04   1.725E-03   8.045E-02
   1.820E-03   4.380E-04   6.722E-04   1.711E-03   8.035E-02
   1.810E-03   4.386E-04   6.597E-04   1.699E-03   8.017E-02
   1.800E-03   4.394E-04   6.475E-04   1.687E-03   7.999E-02
   1.750E-03   4.428E-04   5.780E-04   1.618E-03   7.838E-02
   1.700E-03   4.426E-04   5.043E-04   1.547E-03   7.533E-02
   1.670E-03   4.468E-04   4.600E-04   1.516E-03   7.322E-02
   1.650E-03   4.508E-04   4.310E-04   1.497E-03   7.164E-02
   1.640E-03   4.518E-04   4.169E-04   1.485E-03   7.077E-02
   1.630E-03   4.528E-04   4.029E-04   1.475E-03   6.988E-02
   1.610E-03   4.541E-04   3.757E-04   1.457E-03   6.800E-02
   1.600E-03   4.551E-04   3.626E-04   1.450E-03   6.704E-02
   1.590E-03   4.561E-04   3.501E-04   1.442E-03   6.609E-02
   1.580E-03   4.568E-04   3.383E-04   1.436E-03   6.514E-02
   1.570E-03   4.565E-04   3.272E-04   1.429E-03   6.414E-02
   1.560E-03   4.583E-04   3.175E-04   1.426E-03   6.326E-02
   1.540E-03   4.612E-04   3.018E-04   1.419E-03   6.171E-02
   1.520E-03   4.606E-04   2.922E-04   1.412E-03   6.027E-02
   1.510E-03   4.603E-04   2.900E-04   1.409E-03   5.967E-02
   1.500E-03   4.592E-04   2.891E-04   1.407E-03   5.913E-02
   1.450E-03   4.612E-04   2.999E-04   1.431E-03   5.768E-02
   1.440E-03   4.620E-04   3.038E-04   1.440E-03   5.760E-02
   1.430E-03   4.627E-04   3.071E-04   1.458E-03   5.772E-02
   1.420E-03   4.633E-04   3.103E-04   1.477E-03   5.784E-02
   1.400E-03   4.657E-04   3.176E-04   1.527E-03   5.852E-02
   1.380E-03   4.671E-04   3.245E-04   1.592E-03   5.961E-02
   1.370E-03   4.679E-04   3.283E-04   1.632E-03   6.045E-02
   1.360E-03   4.694E-04   3.322E-04   1.676E-03   6.142E-02
   1.350E-03   4.712E-04   3.369E-04   1.721E-03   6.244E-02
   1.340E-03   4.726E-04   3.416E-04   1.766E-03   6.359E-02
   1.330E-03   4.733E-04   3.475E-04   1.811E-03   6.479E-02
   1.320E-03   4.745E-04   3.535E-04   1.858E-03   6.603E-02
   1.310E-03   4.740E-04   3.606E-04   1.903E-03   6.734E-02
   1.290E-03   4.718E-04   3.775E-04   1.996E-03   7.002E-02
   1.280E-03   4.715E-04   3.864E-04   2.047E-03   7.163E-02
   1.270E-03   4.724E-04   3.940E-04   2.102E-03   7.325E-02
   1.260E-03   4.728E-04   4.052E-04   2.154E-03   7.490E-02
   1.250E-03   4.727E-04   4.199E-04   2.202E-03   7.662E-02
   1.220E-03   4.794E-04   5.069E-04   2.362E-03   8.325E-02
   1.210E-03   4.791E-04   5.635E-04   2.410E-03   8.627E-02
   1.200E-03   4.789E-04   6.296E-04   2.460E-03   8.966E-02
   1.190E-03   4.821E-04   6.982E-04   2.514E-03   9.336E-02
   1.180E-03   4.832E-04   7.622E-04   2.553E-03   9.699E-02
   1.170E-03   4.840E-04   8.170E-04   2.591E-03   1.005E-01
   1.160E-03   4.851E-04   8.611E-04   2.622E-03   1.038E-01
   1.150E-03   4.842E-04   8.954E-04   2.648E-03   1.071E-01
   1.140E-03   4.830E-04   9.224E-04   2.676E-03   1.100E-01
   1.130E-03   4.826E-04   9.437E-04   2.706E-03   1.130E-01
   1.120E-03   4.824E-04   9.618E-04   2.729E-03   1.160E-01
