# apmin_aC apmin_Si  chi2p  for star = HD027778
  6.00000e-07  6.00000e-07      85.6565
  6.00000e-07  3.30960e-06      84.9650
  6.00000e-07  4.22399e-06      83.4824
  6.00000e-07  5.39099e-06      79.2211
  6.00000e-07  6.88042e-06      64.1352
  6.00000e-07  8.78136e-06      28.3231
  7.65769e-07  8.78136e-06      28.2430
  9.77336e-07  8.78136e-06      28.1307
  1.24736e-06  8.78136e-06      27.9585
  1.59198e-06  8.78136e-06      27.7104
  2.03181e-06  8.78136e-06      27.3203
  2.59316e-06  8.78136e-06      26.7119
  3.30960e-06  8.78136e-06      25.3746
  4.22399e-06  8.78136e-06      23.8881
  5.39099e-06  8.78136e-06      21.2413
  6.88042e-06  8.78136e-06      16.7745
  8.78136e-06  8.78136e-06      12.7911
