 #   Polarised Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  1.61E-16  1.05E-17  6.39E-19  1.59E-18  8.25E-18
  9.00E+03  2.31E-16  1.50E-17  9.20E-19  2.31E-18  1.18E-17
  8.00E+03  3.45E-16  2.24E-17  1.38E-18  3.49E-18  1.75E-17
  7.00E+03  5.42E-16  3.52E-17  2.19E-18  5.57E-18  2.74E-17
  6.00E+03  9.14E-16  5.93E-17  3.74E-18  9.54E-18  4.60E-17
  5.50E+03  1.23E-15  7.96E-17  5.05E-18  1.29E-17  6.16E-17
  5.00E+03  1.69E-15  1.10E-16  7.02E-18  1.80E-17  8.48E-17
  4.50E+03  2.42E-15  1.57E-16  1.01E-17  2.59E-17  1.21E-16
  4.00E+03  3.59E-15  2.33E-16  1.52E-17  3.89E-17  1.78E-16
  3.50E+03  5.61E-15  3.64E-16  2.40E-17  6.16E-17  2.78E-16
  3.00E+03  9.37E-15  6.08E-16  4.09E-17  1.04E-16  4.63E-16
  2.50E+03  1.71E-14  1.11E-15  7.64E-17  1.93E-16  8.41E-16
  2.10E+03  3.04E-14  1.97E-15  1.39E-16  3.47E-16  1.48E-15
  1.50E+03  8.87E-14  5.77E-15  4.31E-16  1.03E-15  4.31E-15
  1.38E+03  1.15E-13  7.45E-15  5.66E-16  1.33E-15  5.55E-15
  1.32E+03  1.32E-13  8.59E-15  6.60E-16  1.54E-15  6.39E-15
  1.15E+03  2.01E-13  1.31E-14  1.04E-15  2.35E-15  9.71E-15
  1.00E+03  3.04E-13  1.99E-14  1.63E-15  3.55E-15  1.47E-14
  9.97E+02  3.07E-13  2.00E-14  1.65E-15  3.58E-15  1.48E-14
  8.67E+02  4.56E-13  2.98E-14  2.54E-15  5.35E-15  2.19E-14
  8.50E+02  4.82E-13  3.15E-14  2.71E-15  5.65E-15  2.32E-14
  7.50E+02  6.89E-13  4.52E-14  4.07E-15  7.92E-15  3.32E-14
  6.00E+02  1.20E-12  7.90E-14  7.80E-15  1.38E-14  5.74E-14
  5.50E+02  1.46E-12  9.64E-14  9.90E-15  1.62E-14  7.02E-14
  5.00E+02  1.83E-12  1.21E-13  1.29E-14  2.10E-14  8.74E-14
  4.50E+02  2.35E-12  1.56E-13  1.72E-14  2.85E-14  1.10E-13
  4.00E+02  3.02E-12  2.01E-13  2.38E-14  3.80E-14  1.39E-13
  3.50E+02  3.78E-12  2.52E-13  3.14E-14  5.51E-14  1.65E-13
