 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.00E+04  1.61E-16  1.05E-17  2.21E-17  1.05E-17  1.24E-16  2.49E-19  4.23E-18  8.34E-23  3.03E-21
  9.00E+03  2.31E-16  1.51E-17  3.20E-17  1.50E-17  1.77E-16  3.89E-19  6.14E-18  1.25E-22  8.23E-21
  8.00E+03  3.45E-16  2.27E-17  4.84E-17  2.24E-17  2.64E-16  6.33E-19  9.35E-18  1.94E-22  2.21E-20
  7.00E+03  5.42E-16  3.61E-17  7.72E-17  3.52E-17  4.13E-16  1.09E-18  1.48E-17  3.21E-22  5.85E-20
  6.00E+03  9.14E-16  6.15E-17  1.32E-16  5.93E-17  6.93E-16  2.02E-18  2.53E-17  5.69E-22  1.51E-19
  5.50E+03  1.23E-15  8.31E-17  1.79E-16  7.96E-17  9.28E-16  2.84E-18  3.42E-17  7.84E-22  2.41E-19
  5.00E+03  1.69E-15  1.16E-16  2.50E-16  1.10E-16  1.28E-15  4.09E-18  4.72E-17  1.11E-21  3.81E-19
  4.50E+03  2.42E-15  1.66E-16  3.60E-16  1.57E-16  1.81E-15  6.09E-18  6.81E-17  1.63E-21  5.97E-19
  4.00E+03  3.59E-15  2.50E-16  5.42E-16  2.33E-16  2.69E-15  9.42E-18  1.01E-16  2.48E-21  9.22E-19
  3.50E+03  5.61E-15  3.96E-16  8.58E-16  3.64E-16  4.18E-15  1.53E-17  1.60E-16  3.96E-21  1.40E-18
  3.00E+03  9.37E-15  6.74E-16  1.45E-15  6.08E-16  6.96E-15  2.62E-17  2.64E-16  6.76E-21  2.09E-18
  2.50E+03  1.71E-14  1.26E-15  2.70E-15  1.11E-15  1.26E-14  4.84E-17  4.80E-16  1.25E-20  3.03E-18
  2.10E+03  3.04E-14  2.29E-15  4.84E-15  1.97E-15  2.23E-14  8.54E-17  8.45E-16  2.23E-20  3.96E-18
  1.50E+03  8.87E-14  7.13E-15  1.45E-14  5.77E-15  6.44E-14  2.70E-16  2.38E-15  6.50E-20  5.49E-18
  1.38E+03  1.15E-13  9.37E-15  1.88E-14  7.45E-15  8.30E-14  3.57E-16  3.04E-15  8.42E-20  5.76E-18
  1.32E+03  1.32E-13  1.09E-14  2.17E-14  8.59E-15  9.55E-14  4.16E-16  3.48E-15  9.74E-20  5.89E-18
  1.15E+03  2.01E-13  1.72E-14  3.32E-14  1.31E-14  1.45E-13  6.54E-16  5.17E-15  1.51E-19  6.20E-18
  1.00E+03  3.04E-13  2.71E-14  5.04E-14  1.99E-14  2.18E-13  1.02E-15  7.59E-15  2.36E-19  6.36E-18
  9.97E+02  3.07E-13  2.74E-14  5.08E-14  2.00E-14  2.20E-13  1.03E-15  7.65E-15  2.39E-19  6.47E-18
  8.67E+02  4.56E-13  4.22E-14  7.62E-14  2.98E-14  3.24E-13  1.60E-15  1.11E-14  3.77E-19  1.34E-17
  8.50E+02  4.82E-13  4.50E-14  8.05E-14  3.15E-14  3.43E-13  1.70E-15  1.17E-14  4.03E-19  1.48E-17
