 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_DD    ss_DD   sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 5.19E-07 2.09E-16 3.77E-07 5.41E-17 3.38E-09 2.35E-23 1.80E-07 2.24E-22 1.58E-11 4.53E-07 3.61E-15 1.532E-06
9.000E-01 6.08E-07 3.18E-16 4.45E-07 8.25E-17 4.31E-09 3.59E-23 2.14E-07 3.41E-22 1.95E-11 5.27E-07 5.50E-15 1.798E-06
8.000E-01 7.26E-07 5.10E-16 5.36E-07 1.32E-16 5.62E-09 5.75E-23 2.61E-07 5.46E-22 2.47E-11 6.25E-07 8.79E-15 2.153E-06
7.000E-01 8.89E-07 8.70E-16 6.62E-07 2.25E-16 7.54E-09 9.80E-23 3.21E-07 9.32E-22 3.22E-11 7.58E-07 1.50E-14 2.638E-06
6.000E-01 1.13E-06 1.61E-15 8.46E-07 4.18E-16 1.05E-08 1.82E-22 4.12E-07 1.73E-21 4.39E-11 9.49E-07 2.77E-14 3.343E-06
5.500E-01 1.29E-06 2.28E-15 9.72E-07 5.92E-16 1.25E-08 2.57E-22 4.75E-07 2.44E-21 5.22E-11 1.08E-06 3.92E-14 3.824E-06
5.000E-01 1.49E-06 3.34E-15 1.13E-06 8.66E-16 1.52E-08 3.77E-22 5.51E-07 3.58E-21 6.32E-11 1.24E-06 5.73E-14 4.428E-06
4.500E-01 1.76E-06 5.08E-15 1.34E-06 1.32E-15 1.87E-08 5.74E-22 6.57E-07 5.45E-21 7.80E-11 1.45E-06 8.72E-14 5.219E-06
4.000E-01 2.11E-06 8.14E-15 1.62E-06 2.11E-15 2.34E-08 9.19E-22 7.89E-07 8.73E-21 9.88E-11 1.72E-06 1.39E-13 6.265E-06
3.500E-01 2.60E-06 1.39E-14 2.01E-06 3.61E-15 3.00E-08 1.57E-21 9.88E-07 1.49E-20 1.29E-10 2.10E-06 2.37E-13 7.732E-06
3.000E-01 3.33E-06 2.57E-14 2.58E-06 6.68E-15 3.95E-08 2.91E-21 1.25E-06 2.76E-20 1.76E-10 2.65E-06 4.39E-13 9.842E-06
2.500E-01 4.45E-06 5.33E-14 3.46E-06 1.39E-14 5.40E-08 6.03E-21 1.68E-06 5.71E-20 2.53E-10 3.48E-06 9.07E-13 1.314E-05
2.098E-01 5.92E-06 1.07E-13 4.61E-06 2.80E-14 7.18E-08 1.21E-20 2.24E-06 1.15E-19 3.59E-10 4.55E-06 1.82E-12 1.738E-05
1.500E-01 1.03E-05 4.10E-13 7.97E-06 1.07E-13 1.37E-07 4.65E-20 3.83E-06 4.40E-19 7.02E-10 7.64E-06 6.93E-12 2.987E-05
1.382E-01 1.18E-05 5.69E-13 9.12E-06 1.48E-13 1.61E-07 6.45E-20 4.40E-06 6.10E-19 8.27E-10 8.68E-06 9.60E-12 3.416E-05
1.320E-01 1.27E-05 6.84E-13 9.83E-06 1.78E-13 1.77E-07 7.75E-20 4.73E-06 7.33E-19 9.07E-10 9.33E-06 1.15E-11 3.682E-05
1.150E-01 1.61E-05 1.19E-12 1.23E-05 3.10E-13 2.32E-07 1.35E-19 5.91E-06 1.27E-18 1.19E-09 1.16E-05 1.99E-11 4.619E-05
1.000E-01 2.05E-05 2.07E-12 1.55E-05 5.41E-13 3.04E-07 2.35E-19 7.38E-06 2.22E-18 1.58E-09 1.45E-05 3.48E-11 5.820E-05
9.970E-02 2.06E-05 2.10E-12 1.56E-05 5.48E-13 3.06E-07 2.38E-19 7.42E-06 2.25E-18 1.59E-09 1.46E-05 3.52E-11 5.850E-05
8.670E-02 2.59E-05 3.67E-12 1.97E-05 9.58E-13 4.05E-07 4.16E-19 9.31E-06 3.93E-18 2.10E-09 1.81E-05 6.13E-11 7.343E-05
8.500E-02 2.69E-05 3.97E-12 2.03E-05 1.04E-12 4.21E-07 4.51E-19 9.61E-06 4.26E-18 2.19E-09 1.87E-05 6.64E-11 7.596E-05
7.500E-02 3.41E-05 6.55E-12 2.50E-05 1.71E-12 5.35E-07 7.43E-19 1.17E-05 7.02E-18 2.81E-09 2.34E-05 1.09E-10 9.475E-05
6.000E-02 5.01E-05 1.60E-11 3.61E-05 4.21E-12 8.22E-07 1.81E-18 1.70E-05 1.71E-17 4.39E-09 3.31E-05 2.65E-10 1.372E-04
5.500E-02 5.81E-05 2.27E-11 4.05E-05 5.98E-12 9.69E-07 2.57E-18 1.99E-05 2.43E-17 5.23E-09 3.82E-05 3.75E-10 1.576E-04
5.000E-02 6.91E-05 3.32E-11 5.01E-05 8.83E-12 1.16E-06 3.76E-18 2.36E-05 3.56E-17 6.32E-09 4.52E-05 5.48E-10 1.893E-04
4.500E-02 8.52E-05 5.07E-11 6.64E-05 1.35E-11 1.41E-06 5.73E-18 2.89E-05 5.43E-17 7.81E-09 5.51E-05 8.34E-10 2.371E-04
4.000E-02 1.09E-04 8.13E-11 8.88E-05 2.19E-11 1.76E-06 9.18E-18 3.65E-05 8.70E-17 9.88E-09 6.91E-05 1.33E-09 3.056E-04
3.500E-02 1.37E-04 1.39E-10 1.35E-04 3.77E-11 2.25E-06 1.57E-17 4.83E-05 1.49E-16 1.29E-08 8.47E-05 2.26E-09 4.075E-04
3.000E-02 1.94E-04 2.58E-10 2.11E-04 7.02E-11 3.00E-06 2.90E-17 6.78E-05 2.76E-16 1.76E-08 1.15E-04 4.16E-09 5.908E-04
2.750E-02 2.31E-04 3.66E-10 2.65E-04 9.95E-11 3.54E-06 4.11E-17 8.29E-05 3.91E-16 2.09E-08 1.34E-04 5.86E-09 7.171E-04
2.500E-02 2.79E-04 5.38E-10 3.38E-04 1.46E-10 4.23E-06 6.02E-17 1.04E-04 5.73E-16 2.53E-08 1.60E-04 8.57E-09 8.839E-04
2.400E-02 3.06E-04 6.33E-10 3.74E-04 1.71E-10 4.57E-06 7.09E-17 1.13E-04 6.74E-16 2.75E-08 1.71E-04 1.00E-08 9.688E-04
2.000E-02 4.48E-04 1.32E-09 5.81E-04 3.49E-10 6.47E-06 1.47E-16 1.64E-04 1.40E-15 3.96E-08 2.39E-04 2.06E-08 1.439E-03
1.800E-02 5.58E-04 2.03E-09 7.21E-04 5.23E-10 7.96E-06 2.25E-16 2.04E-04 2.13E-15 4.90E-08 2.91E-04 3.13E-08 1.783E-03
1.600E-02 7.43E-04 3.29E-09 8.95E-04 8.21E-10 1.01E-05 3.61E-16 2.60E-04 3.42E-15 6.21E-08 3.65E-04 4.96E-08 2.273E-03
1.500E-02 8.86E-04 4.27E-09 1.00E-03 1.05E-09 1.15E-05 4.67E-16 2.95E-04 4.42E-15 7.07E-08 4.12E-04 6.35E-08 2.608E-03
1.400E-02 1.01E-03 5.64E-09 1.13E-03 1.36E-09 1.32E-05 6.17E-16 3.41E-04 5.83E-15 8.12E-08 4.56E-04 8.33E-08 2.944E-03
1.200E-02 1.54E-03 1.06E-08 1.43E-03 2.44E-09 1.84E-05 1.15E-15 4.67E-04 1.08E-14 1.11E-07 6.07E-04 1.50E-07 4.066E-03
1.000E-02 2.34E-03 2.22E-08 1.89E-03 4.82E-09 2.79E-05 2.40E-15 6.82E-04 2.25E-14 1.60E-07 8.16E-04 3.03E-07 5.755E-03
