 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt
 # --------------------------------------------------------------------------------------------------------------
 1.000E+00 1.45E-07 7.63E-17 5.05E-07 9.13E-17 9.10E-09 7.98E-23 1.52E-07 2.38E-22 4.67E-12 1.30E-06 1.62E-14 2.106E-06
 2.159E-04 2.99E-02 4.41E-03 3.44E-04 7.08E-03 7.33E-03 2.56E-08 6.97E-03 2.57E-08 6.19E-05 4.14E-02 9.55E-02 1.931E-01
 1.662E-04 3.68E-02 1.16E-02 2.48E-04 2.01E-02 1.10E-02 7.14E-08 8.55E-03 7.38E-08 1.16E-04 4.83E-02 1.26E-01 2.627E-01
 1.235E-04 4.94E-02 3.16E-02 2.21E-04 5.99E-02 1.74E-02 2.28E-07 1.10E-02 2.43E-07 2.52E-04 5.76E-02 1.43E-01 3.702E-01
 5.477E-05 1.49E-01 1.59E-01 7.21E-04 5.43E-01 6.11E-02 5.42E-06 2.37E-02 6.34E-06 2.88E-03 8.45E-02 1.10E-01 1.134E+00
 4.440E-05 1.89E-01 1.68E-01 1.32E-03 8.28E-01 8.67E-02 1.27E-05 2.89E-02 1.49E-05 5.35E-03 8.76E-02 9.78E-02 1.493E+00
 3.656E-05 2.16E-01 1.67E-01 4.50E-03 1.15E+00 1.24E-01 2.86E-05 3.45E-02 3.33E-05 1.09E-02 8.73E-02 9.10E-02 1.882E+00
 2.780E-05 2.36E-01 1.63E-01 1.70E-02 1.57E+00 2.32E-01 1.10E-04 4.32E-02 1.07E-04 5.11E-02 8.26E-02 8.46E-02 2.476E+00
 2.630E-05 2.38E-01 1.62E-01 2.03E-02 1.62E+00 2.84E-01 1.57E-04 4.49E-02 1.37E-04 8.18E-02 8.15E-02 8.37E-02 2.614E+00
 2.500E-05 2.38E-01 1.62E-01 2.43E-02 1.65E+00 3.54E-01 2.28E-04 4.64E-02 1.72E-04 1.32E-01 8.05E-02 8.30E-02 2.769E+00
 2.380E-05 2.39E-01 1.61E-01 2.94E-02 1.66E+00 4.88E-01 3.49E-04 4.66E-02 2.16E-04 2.05E-01 7.94E-02 8.23E-02 2.995E+00
 2.270E-05 2.40E-01 1.61E-01 3.65E-02 1.67E+00 7.05E-01 5.11E-04 4.84E-02 2.71E-04 2.48E-01 7.85E-02 8.17E-02 3.265E+00
