 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   6.302E-08   4.419E-08   1.439E-07   1.532E-06
   9.000E-01   7.381E-08   5.218E-08   1.673E-07   1.798E-06
   8.000E-01   8.816E-08   6.286E-08   1.982E-07   2.153E-06
   7.000E-01   1.080E-07   7.767E-08   2.403E-07   2.638E-06
   6.000E-01   1.366E-07   9.927E-08   3.005E-07   3.343E-06
   5.500E-01   1.562E-07   1.140E-07   3.411E-07   3.824E-06
   5.000E-01   1.809E-07   1.328E-07   3.921E-07   4.428E-06
   4.500E-01   2.130E-07   1.573E-07   4.577E-07   5.219E-06
   4.000E-01   2.560E-07   1.900E-07   5.443E-07   6.265E-06
   3.500E-01   3.159E-07   2.357E-07   6.635E-07   7.732E-06
   3.000E-01   4.033E-07   3.023E-07   8.347E-07   9.842E-06
   2.500E-01   5.400E-07   4.063E-07   1.098E-06   1.314E-05
   2.098E-01   7.173E-07   5.403E-07   1.432E-06   1.738E-05
   1.500E-01   1.247E-06   9.352E-07   2.397E-06   2.987E-05
   1.382E-01   1.430E-06   1.069E-06   2.724E-06   3.416E-05
   1.320E-01   1.545E-06   1.153E-06   2.926E-06   3.682E-05
   1.150E-01   1.951E-06   1.447E-06   3.635E-06   4.619E-05
   1.000E-01   2.481E-06   1.820E-06   4.540E-06   5.820E-05
   9.970E-02   2.494E-06   1.829E-06   4.562E-06   5.850E-05
   8.670E-02   3.140E-06   2.308E-06   5.660E-06   7.343E-05
   8.500E-02   3.252E-06   2.385E-06   5.853E-06   7.596E-05
   7.500E-02   4.126E-06   2.935E-06   7.300E-06   9.475E-05
   6.000E-02   6.068E-06   4.248E-06   1.031E-05   1.372E-04
   5.500E-02   7.031E-06   4.768E-06   1.188E-05   1.576E-04
   5.000E-02   8.371E-06   5.931E-06   1.406E-05   1.893E-04
   4.500E-02   1.032E-05   7.884E-06   1.712E-05   2.371E-04
   4.000E-02   1.326E-05   1.058E-05   2.142E-05   3.056E-04
   3.500E-02   1.663E-05   1.616E-05   2.620E-05   4.075E-04
   3.000E-02   2.351E-05   2.525E-05   3.561E-05   5.908E-04
   2.750E-02   2.808E-05   3.176E-05   4.132E-05   7.171E-04
   2.500E-02   3.385E-05   4.039E-05   4.910E-05   8.839E-04
   2.400E-02   3.718E-05   4.467E-05   5.255E-05   9.688E-04
   2.000E-02   5.457E-05   6.874E-05   7.291E-05   1.439E-03
   1.800E-02   6.820E-05   8.441E-05   8.880E-05   1.783E-03
   1.600E-02   9.097E-05   1.036E-04   1.104E-04   2.273E-03
   1.500E-02   1.087E-04   1.153E-04   1.242E-04   2.608E-03
   1.400E-02   1.237E-04   1.282E-04   1.370E-04   2.944E-03
   1.200E-02   1.898E-04   1.599E-04   1.798E-04   4.066E-03
   1.000E-02   2.892E-04   2.049E-04   2.388E-04   5.755E-03
   9.000E-03   3.863E-04   2.299E-04   2.850E-04   7.141E-03
   8.000E-03   5.057E-04   2.643E-04   3.275E-04   8.906E-03
   7.500E-03   5.932E-04   2.913E-04   3.667E-04   1.018E-02
   7.000E-03   7.102E-04   3.243E-04   4.037E-04   1.186E-02
   6.000E-03   9.939E-04   4.095E-04   4.992E-04   1.617E-02
   5.000E-03   1.345E-03   5.655E-04   6.292E-04   2.272E-02
   4.500E-03   1.583E-03   6.728E-04   7.196E-04   2.766E-02
   4.000E-03   1.779E-03   7.896E-04   8.231E-04   3.337E-02
   3.500E-03   2.022E-03   9.070E-04   9.652E-04   4.071E-02
   3.000E-03   2.275E-03   9.903E-04   1.154E-03   5.042E-02
   2.750E-03   2.358E-03   1.009E-03   1.261E-03   5.586E-02
   2.500E-03   2.395E-03   1.014E-03   1.379E-03   6.185E-02
   2.400E-03   2.432E-03   1.014E-03   1.431E-03   6.472E-02
   2.350E-03   2.453E-03   1.014E-03   1.458E-03   6.639E-02
   2.320E-03   2.461E-03   1.014E-03   1.473E-03   6.736E-02
   2.310E-03   2.463E-03   1.015E-03   1.477E-03   6.770E-02
   2.300E-03   2.467E-03   1.014E-03   1.482E-03   6.803E-02
   2.250E-03   2.471E-03   1.016E-03   1.510E-03   6.977E-02
   2.200E-03   2.478E-03   1.017E-03   1.534E-03   7.167E-02
   2.150E-03   2.495E-03   1.015E-03   1.556E-03   7.369E-02
   2.120E-03   2.503E-03   1.009E-03   1.570E-03   7.498E-02
   2.110E-03   2.503E-03   1.007E-03   1.573E-03   7.540E-02
   2.100E-03   2.501E-03   1.005E-03   1.576E-03   7.582E-02
   2.080E-03   2.494E-03   9.971E-04   1.580E-03   7.653E-02
   2.000E-03   2.485E-03   9.639E-04   1.604E-03   7.964E-02
   1.950E-03   2.495E-03   9.283E-04   1.599E-03   8.172E-02
   1.900E-03   2.521E-03   8.819E-04   1.582E-03   8.352E-02
   1.850E-03   2.545E-03   8.237E-04   1.544E-03   8.461E-02
   1.830E-03   2.555E-03   7.972E-04   1.523E-03   8.490E-02
   1.820E-03   2.554E-03   7.831E-04   1.511E-03   8.491E-02
   1.810E-03   2.557E-03   7.685E-04   1.499E-03   8.485E-02
   1.800E-03   2.562E-03   7.543E-04   1.489E-03   8.482E-02
   1.750E-03   2.582E-03   6.734E-04   1.427E-03   8.405E-02
   1.700E-03   2.581E-03   5.875E-04   1.363E-03   8.182E-02
   1.670E-03   2.605E-03   5.359E-04   1.333E-03   8.039E-02
   1.650E-03   2.628E-03   5.022E-04   1.316E-03   7.935E-02
   1.640E-03   2.634E-03   4.857E-04   1.305E-03   7.875E-02
   1.630E-03   2.640E-03   4.694E-04   1.295E-03   7.813E-02
   1.610E-03   2.647E-03   4.378E-04   1.278E-03   7.676E-02
   1.600E-03   2.653E-03   4.225E-04   1.271E-03   7.606E-02
   1.590E-03   2.659E-03   4.079E-04   1.264E-03   7.537E-02
   1.580E-03   2.663E-03   3.942E-04   1.257E-03   7.468E-02
   1.570E-03   2.661E-03   3.812E-04   1.250E-03   7.390E-02
   1.560E-03   2.672E-03   3.699E-04   1.247E-03   7.327E-02
   1.540E-03   2.689E-03   3.517E-04   1.239E-03   7.225E-02
   1.520E-03   2.685E-03   3.405E-04   1.231E-03   7.118E-02
   1.510E-03   2.683E-03   3.379E-04   1.227E-03   7.073E-02
   1.500E-03   2.677E-03   3.369E-04   1.224E-03   7.029E-02
   1.450E-03   2.689E-03   3.495E-04   1.238E-03   6.917E-02
   1.440E-03   2.693E-03   3.541E-04   1.244E-03   6.916E-02
   1.430E-03   2.697E-03   3.579E-04   1.259E-03   6.929E-02
   1.420E-03   2.701E-03   3.617E-04   1.273E-03   6.941E-02
   1.400E-03   2.715E-03   3.702E-04   1.313E-03   7.005E-02
   1.380E-03   2.723E-03   3.782E-04   1.365E-03   7.104E-02
   1.370E-03   2.727E-03   3.827E-04   1.398E-03   7.175E-02
   1.360E-03   2.736E-03   3.872E-04   1.435E-03   7.259E-02
   1.350E-03   2.747E-03   3.927E-04   1.472E-03   7.350E-02
   1.340E-03   2.755E-03   3.982E-04   1.510E-03   7.453E-02
   1.330E-03   2.759E-03   4.050E-04   1.548E-03   7.557E-02
   1.320E-03   2.766E-03   4.121E-04   1.588E-03   7.669E-02
   1.310E-03   2.763E-03   4.203E-04   1.626E-03   7.781E-02
   1.290E-03   2.750E-03   4.400E-04   1.703E-03   8.006E-02
   1.280E-03   2.748E-03   4.505E-04   1.747E-03   8.144E-02
   1.270E-03   2.753E-03   4.593E-04   1.794E-03   8.286E-02
   1.260E-03   2.756E-03   4.724E-04   1.838E-03   8.416E-02
   1.250E-03   2.755E-03   4.895E-04   1.880E-03   8.546E-02
   1.220E-03   2.794E-03   5.910E-04   2.019E-03   9.103E-02
   1.210E-03   2.792E-03   6.570E-04   2.062E-03   9.355E-02
   1.200E-03   2.791E-03   7.342E-04   2.106E-03   9.631E-02
   1.190E-03   2.810E-03   8.141E-04   2.155E-03   9.945E-02
   1.180E-03   2.816E-03   8.888E-04   2.191E-03   1.026E-01
   1.170E-03   2.821E-03   9.526E-04   2.226E-03   1.056E-01
   1.160E-03   2.827E-03   1.004E-03   2.256E-03   1.086E-01
   1.150E-03   2.822E-03   1.044E-03   2.282E-03   1.115E-01
   1.140E-03   2.815E-03   1.075E-03   2.309E-03   1.143E-01
   1.130E-03   2.812E-03   1.100E-03   2.339E-03   1.171E-01
   1.120E-03   2.811E-03   1.121E-03   2.363E-03   1.195E-01
   1.110E-03   2.807E-03   1.141E-03   2.385E-03   1.217E-01
   1.090E-03   2.811E-03   1.174E-03   2.419E-03   1.268E-01
   1.050E-03   2.847E-03   1.203E-03   2.435E-03   1.401E-01
   1.000E-03   2.903E-03   1.167E-03   2.177E-03   1.528E-01
   9.800E-04   2.929E-03   1.112E-03   2.068E-03   1.573E-01
   9.600E-04   2.951E-03   1.030E-03   1.911E-03   1.609E-01
   9.500E-04   2.970E-03   9.809E-04   1.803E-03   1.618E-01
   9.400E-04   2.967E-03   9.301E-04   1.679E-03   1.612E-01
   9.200E-04   2.974E-03   8.306E-04   1.421E-03   1.553E-01
   8.900E-04   3.010E-03   6.830E-04   1.140E-03   1.389E-01
   8.700E-04   2.993E-03   6.018E-04   1.037E-03   1.278E-01
   8.600E-04   3.010E-03   5.661E-04   1.006E-03   1.237E-01
   8.500E-04   3.007E-03   5.289E-04   9.731E-04   1.194E-01
   8.400E-04   3.028E-03   4.894E-04   9.400E-04   1.153E-01
   8.200E-04   3.004E-03   4.087E-04   8.595E-04   1.047E-01
   8.000E-04   3.015E-03   3.418E-04   8.034E-04   9.387E-02
   7.900E-04   3.031E-03   3.178E-04   8.046E-04   9.046E-02
   7.800E-04   3.016E-03   2.983E-04   7.986E-04   8.689E-02
   7.700E-04   3.004E-03   2.815E-04   8.014E-04   8.401E-02
   7.600E-04   2.994E-03   2.668E-04   8.132E-04   8.192E-02
   7.500E-04   2.984E-03   2.535E-04   8.263E-04   8.002E-02
   7.300E-04   3.000E-03   2.333E-04   8.784E-04   7.877E-02
   7.200E-04   2.987E-03   2.279E-04   9.007E-04   7.855E-02
   7.100E-04   2.982E-03   2.251E-04   9.270E-04   7.840E-02
   7.000E-04   3.000E-03   2.216E-04   9.566E-04   7.898E-02
   6.900E-04   2.978E-03   2.151E-04   9.766E-04   7.897E-02
   6.800E-04   2.919E-03   2.059E-04   9.905E-04   7.782E-02
   6.600E-04   2.957E-03   1.896E-04   1.057E-03   7.802E-02
   6.400E-04   3.044E-03   1.681E-04   1.131E-03   7.958E-02
   6.300E-04   3.083E-03   1.592E-04   1.164E-03   8.082E-02
   6.200E-04   3.073E-03   1.586E-04   1.188E-03   8.126E-02
   6.100E-04   3.092E-03   1.590E-04   1.219E-03   8.198E-02
   5.900E-04   3.177E-03   1.335E-04   1.293E-03   8.422E-02
   5.500E-04   2.957E-03   1.056E-04   1.366E-03   8.161E-02
   5.300E-04   2.995E-03   9.763E-05   1.456E-03   8.273E-02
   5.200E-04   2.997E-03   9.364E-05   1.498E-03   8.315E-02
   5.100E-04   3.028E-03   8.955E-05   1.550E-03   8.416E-02
   5.000E-04   3.056E-03   8.582E-05   1.600E-03   8.518E-02
   4.800E-04   3.084E-03   8.036E-05   1.699E-03   8.686E-02
   4.500E-04   3.153E-03   7.507E-05   1.857E-03   9.082E-02
   4.000E-04   3.263E-03   7.363E-05   2.162E-03   9.772E-02
   3.800E-04   3.338E-03   7.660E-05   2.300E-03   1.016E-01
   3.600E-04   3.426E-03   8.251E-05   2.448E-03   1.060E-01
   3.400E-04   3.576E-03   9.255E-05   2.591E-03   1.129E-01
   3.300E-04   3.562E-03   9.949E-05   2.653E-03   1.146E-01
   3.200E-04   3.601E-03   1.080E-04   2.738E-03   1.167E-01
   3.150E-04   3.646E-03   1.130E-04   2.782E-03   1.185E-01
   3.100E-04   3.689E-03   1.186E-04   2.824E-03   1.203E-01
   3.080E-04   3.702E-03   1.210E-04   2.840E-03   1.210E-01
   3.050E-04   3.719E-03   1.247E-04   2.864E-03   1.220E-01
   3.000E-04   3.754E-03   1.316E-04   2.907E-03   1.237E-01
   2.900E-04   3.847E-03   1.475E-04   2.992E-03   1.279E-01
   2.800E-04   3.897E-03   1.671E-04   3.073E-03   1.312E-01
   2.600E-04   4.104E-03   2.213E-04   3.248E-03   1.402E-01
   2.500E-04   4.258E-03   2.585E-04   3.332E-03   1.460E-01
   2.200E-04   4.920E-03   4.392E-04   3.572E-03   1.688E-01
   2.159E-04   5.015E-03   4.758E-04   3.601E-03   1.722E-01
   2.000E-04   5.558E-03   6.604E-04   3.721E-03   1.888E-01
   1.662E-04   7.242E-03   1.463E-03   3.815E-03   2.378E-01
   1.650E-04   7.321E-03   1.508E-03   3.814E-03   2.400E-01
   1.250E-04   1.145E-02   4.474E-03   3.509E-03   3.581E-01
   1.235E-04   1.166E-02   4.662E-03   3.485E-03   3.650E-01
   1.130E-04   1.323E-02   6.190E-03   3.272E-03   4.209E-01
   1.000E-04   1.549E-02   8.609E-03   2.927E-03   5.190E-01
   9.500E-05   1.637E-02   9.710E-03   2.767E-03   5.678E-01
   9.300E-05   1.672E-02   1.018E-02   2.700E-03   5.892E-01
   9.200E-05   1.689E-02   1.042E-02   2.666E-03   6.004E-01
   9.100E-05   1.706E-02   1.067E-02   2.631E-03   6.117E-01
   9.000E-05   1.723E-02   1.092E-02   2.596E-03   6.234E-01
   8.900E-05   1.741E-02   1.118E-02   2.561E-03   6.354E-01
   8.800E-05   1.758E-02   1.144E-02   2.525E-03   6.478E-01
   8.700E-05   1.776E-02   1.170E-02   2.488E-03   6.605E-01
   8.600E-05   1.794E-02   1.198E-02   2.451E-03   6.736E-01
   8.500E-05   1.812E-02   1.225E-02   2.415E-03   6.871E-01
   8.400E-05   1.831E-02   1.253E-02   2.379E-03   7.012E-01
   8.330E-05   1.845E-02   1.273E-02   2.353E-03   7.113E-01
   8.200E-05   1.870E-02   1.310E-02   2.304E-03   7.309E-01
   8.100E-05   1.890E-02   1.339E-02   2.266E-03   7.466E-01
   8.000E-05   1.910E-02   1.369E-02   2.226E-03   7.630E-01
   7.900E-05   1.931E-02   1.399E-02   2.186E-03   7.799E-01
   7.800E-05   1.951E-02   1.429E-02   2.145E-03   7.974E-01
   7.700E-05   1.970E-02   1.460E-02   2.103E-03   8.156E-01
   7.600E-05   1.989E-02   1.491E-02   2.060E-03   8.344E-01
   7.500E-05   2.008E-02   1.522E-02   2.018E-03   8.537E-01
   7.400E-05   2.025E-02   1.553E-02   1.975E-03   8.736E-01
   7.300E-05   2.041E-02   1.585E-02   1.931E-03   8.941E-01
   7.140E-05   2.065E-02   1.635E-02   1.861E-03   9.282E-01
   7.100E-05   2.071E-02   1.648E-02   1.844E-03   9.369E-01
   7.000E-05   2.084E-02   1.679E-02   1.800E-03   9.592E-01
   6.900E-05   2.096E-02   1.710E-02   1.757E-03   9.821E-01
   6.800E-05   2.107E-02   1.740E-02   1.714E-03   1.006E+00
   6.700E-05   2.118E-02   1.769E-02   1.672E-03   1.030E+00
   6.600E-05   2.127E-02   1.796E-02   1.630E-03   1.055E+00
   6.500E-05   2.136E-02   1.822E-02   1.588E-03   1.081E+00
   6.400E-05   2.144E-02   1.847E-02   1.547E-03   1.108E+00
   6.300E-05   2.151E-02   1.870E-02   1.504E-03   1.135E+00
   6.250E-05   2.154E-02   1.880E-02   1.483E-03   1.149E+00
   6.200E-05   2.156E-02   1.891E-02   1.461E-03   1.164E+00
   6.100E-05   2.160E-02   1.911E-02   1.418E-03   1.193E+00
   6.000E-05   2.162E-02   1.930E-02   1.374E-03   1.223E+00
   5.900E-05   2.161E-02   1.948E-02   1.328E-03   1.255E+00
   5.800E-05   2.157E-02   1.966E-02   1.282E-03   1.287E+00
   5.700E-05   2.150E-02   1.983E-02   1.235E-03   1.320E+00
   5.600E-05   2.138E-02   2.001E-02   1.187E-03   1.354E+00
   5.500E-05   2.122E-02   2.019E-02   1.138E-03   1.389E+00
   5.477E-05   2.118E-02   2.023E-02   1.127E-03   1.400E+00
   5.400E-05   2.102E-02   2.036E-02   1.089E-03   1.428E+00
   5.300E-05   2.077E-02   2.055E-02   1.040E-03   1.464E+00
   5.200E-05   2.047E-02   2.074E-02   9.921E-04   1.502E+00
   5.100E-05   2.013E-02   2.093E-02   9.458E-04   1.540E+00
   5.000E-05   1.975E-02   2.111E-02   9.018E-04   1.579E+00
   4.900E-05   1.933E-02   2.127E-02   8.599E-04   1.619E+00
   4.880E-05   1.924E-02   2.130E-02   8.518E-04   1.627E+00
   4.800E-05   1.887E-02   2.140E-02   8.203E-04   1.659E+00
   4.760E-05   1.868E-02   2.143E-02   8.049E-04   1.676E+00
   4.700E-05   1.837E-02   2.147E-02   7.820E-04   1.701E+00
   4.650E-05   1.811E-02   2.149E-02   7.631E-04   1.722E+00
   4.600E-05   1.784E-02   2.149E-02   7.445E-04   1.744E+00
   4.550E-05   1.756E-02   2.148E-02   7.258E-04   1.766E+00
   4.500E-05   1.728E-02   2.147E-02   7.072E-04   1.788E+00
   4.440E-05   1.692E-02   2.143E-02   6.849E-04   1.814E+00
   4.350E-05   1.637E-02   2.136E-02   6.519E-04   1.855E+00
   4.170E-05   1.520E-02   2.119E-02   5.883E-04   1.940E+00
   4.000E-05   1.403E-02   2.098E-02   5.322E-04   2.025E+00
   3.850E-05   1.296E-02   2.066E-02   4.857E-04   2.103E+00
   3.656E-05   1.152E-02   1.995E-02   4.287E-04   2.208E+00
   3.570E-05   1.087E-02   1.958E-02   4.042E-04   2.256E+00
   3.330E-05   9.033E-03   1.821E-02   3.390E-04   2.397E+00
   3.130E-05   7.493E-03   1.710E-02   2.893E-04   2.527E+00
   3.000E-05   6.503E-03   1.608E-02   2.599E-04   2.620E+00
   2.940E-05   6.055E-03   1.561E-02   2.469E-04   2.666E+00
   2.780E-05   4.837E-03   1.454E-02   2.122E-04   2.810E+00
   2.630E-05   3.814E-03   1.313E-02   1.850E-04   2.996E+00
   2.500E-05   3.073E-03   1.140E-02   1.649E-04   3.248E+00
   2.380E-05   2.464E-03   9.632E-03   1.477E-04   3.598E+00
   2.270E-05   1.968E-03   8.681E-03   1.335E-04   3.876E+00
