 #   Polarised Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  5.36E-21  7.49E-22  2.74E-22  1.33E-22  3.42E-22
  9.00E+03  7.71E-21  1.08E-21  3.94E-22  1.92E-22  4.89E-22
  8.00E+03  1.16E-20  1.61E-21  5.92E-22  2.91E-22  7.27E-22
  7.00E+03  1.83E-20  2.54E-21  9.40E-22  4.64E-22  1.14E-21
  6.00E+03  3.12E-20  4.31E-21  1.60E-21  7.95E-22  1.91E-21
  5.50E+03  4.21E-20  5.80E-21  2.16E-21  1.08E-21  2.56E-21
  5.00E+03  5.84E-20  8.03E-21  3.01E-21  1.50E-21  3.52E-21
  4.50E+03  8.39E-20  1.15E-20  4.33E-21  2.16E-21  5.01E-21
  4.00E+03  1.25E-19  1.72E-20  6.51E-21  3.24E-21  7.42E-21
  3.50E+03  1.98E-19  2.70E-20  1.03E-20  5.13E-21  1.16E-20
  3.00E+03  3.34E-19  4.55E-20  1.75E-20  8.68E-21  1.93E-20
  2.50E+03  6.19E-19  8.39E-20  3.28E-20  1.61E-20  3.51E-20
  2.10E+03  1.11E-18  1.51E-19  5.97E-20  2.88E-20  6.20E-20
  1.50E+03  3.36E-18  4.52E-19  1.86E-19  8.55E-20  1.81E-19
  1.38E+03  4.38E-18  5.88E-19  2.44E-19  1.11E-19  2.33E-19
  1.32E+03  5.08E-18  6.80E-19  2.84E-19  1.28E-19  2.69E-19
  1.15E+03  7.88E-18  1.05E-18  4.48E-19  1.95E-19  4.09E-19
  1.00E+03  1.22E-17  1.62E-18  7.06E-19  2.94E-19  6.21E-19
  9.97E+02  1.23E-17  1.64E-18  7.12E-19  2.97E-19  6.26E-19
  8.67E+02  1.87E-17  2.47E-18  1.10E-18  4.42E-19  9.29E-19
  8.50E+02  1.98E-17  2.62E-18  1.17E-18  4.67E-19  9.84E-19
  7.50E+02  2.90E-17  3.83E-18  1.76E-18  6.54E-19  1.42E-18
  6.00E+02  5.35E-17  6.99E-18  3.39E-18  1.13E-18  2.47E-18
  5.50E+02  6.66E-17  8.67E-18  4.31E-18  1.33E-18  3.03E-18
