 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_DD    emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.00E+04  5.36E-21  2.30E-21  1.25E-21  7.49E-22  1.48E-21  5.88E-24  3.22E-22  1.85E-26  3.03E-21
  9.00E+03  7.71E-21  3.31E-21  1.81E-21  1.08E-21  2.11E-21  9.16E-24  4.67E-22  2.77E-26  8.23E-21
  8.00E+03  1.16E-20  4.98E-21  2.73E-21  1.61E-21  3.14E-21  1.49E-23  7.10E-22  4.32E-26  2.21E-20
  7.00E+03  1.83E-20  7.91E-21  4.36E-21  2.54E-21  4.93E-21  2.56E-23  1.12E-21  7.13E-26  5.85E-20
  6.00E+03  3.12E-20  1.35E-20  7.48E-21  4.31E-21  8.28E-21  4.73E-23  1.91E-21  1.26E-25  1.51E-19
  5.50E+03  4.21E-20  1.82E-20  1.01E-20  5.80E-21  1.11E-20  6.63E-23  2.59E-21  1.74E-25  2.41E-19
  5.00E+03  5.84E-20  2.53E-20  1.41E-20  8.03E-21  1.53E-20  9.55E-23  3.56E-21  2.46E-25  3.81E-19
  4.50E+03  8.39E-20  3.65E-20  2.04E-20  1.15E-20  2.17E-20  1.42E-22  5.12E-21  3.61E-25  5.97E-19
  4.00E+03  1.25E-19  5.48E-20  3.07E-20  1.72E-20  3.22E-20  2.19E-22  7.57E-21  5.49E-25  9.22E-19
  3.50E+03  1.98E-19  8.69E-20  4.87E-20  2.70E-20  5.02E-20  3.53E-22  1.19E-20  8.78E-25  1.40E-18
  3.00E+03  3.34E-19  1.48E-19  8.26E-20  4.55E-20  8.36E-20  6.02E-22  1.97E-20  1.49E-24  2.09E-18
  2.50E+03  6.19E-19  2.77E-19  1.53E-19  8.39E-20  1.52E-19  1.11E-21  3.55E-20  2.76E-24  3.03E-18
  2.10E+03  1.11E-18  5.04E-19  2.76E-19  1.51E-19  2.69E-19  1.94E-21  6.22E-20  4.91E-24  3.96E-18
  1.50E+03  3.36E-18  1.57E-18  8.31E-19  4.52E-19  7.82E-19  6.04E-21  1.72E-19  1.43E-23  5.49E-18
  1.38E+03  4.38E-18  2.07E-18  1.08E-18  5.88E-19  1.01E-18  7.96E-21  2.20E-19  1.85E-23  5.76E-18
  1.32E+03  5.08E-18  2.41E-18  1.25E-18  6.80E-19  1.16E-18  9.26E-21  2.52E-19  2.14E-23  5.89E-18
  1.15E+03  7.88E-18  3.80E-18  1.92E-18  1.05E-18  1.77E-18  1.45E-20  3.72E-19  3.30E-23  6.20E-18
  1.00E+03  1.22E-17  6.00E-18  2.93E-18  1.62E-18  2.68E-18  2.25E-20  5.42E-19  5.17E-23  6.36E-18
  9.97E+02  1.23E-17  6.06E-18  2.96E-18  1.64E-18  2.71E-18  2.27E-20  5.47E-19  5.22E-23  6.47E-18
  8.67E+02  1.87E-17  9.37E-18  4.46E-18  2.47E-18  4.01E-18  3.50E-20  7.88E-19  8.23E-23  1.34E-17
  8.50E+02  1.98E-17  9.98E-18  4.72E-18  2.62E-18  4.24E-18  3.71E-20  8.29E-19  8.79E-23  1.48E-17
  7.50E+02  2.90E-17  1.50E-17  6.69E-18  3.83E-18  6.09E-18  5.34E-20  1.13E-18  1.33E-22  2.55E-17
  6.00E+02  5.35E-17  2.91E-17  1.19E-17  6.99E-18  1.06E-17  9.93E-20  1.89E-18  2.81E-22  5.56E-17
  5.50E+02  6.66E-17  3.70E-17  1.42E-17  8.67E-18  1.30E-17  1.25E-19  2.30E-18  3.76E-22  7.13E-17
  5.00E+02  8.60E-17  4.83E-17  1.86E-17  1.11E-17  1.61E-17  1.58E-19  2.84E-18  5.14E-22  9.06E-17
  4.50E+02  1.15E-16  6.50E-17  2.57E-17  1.47E-17  2.04E-17  2.04E-19  3.55E-18  7.22E-22  1.14E-16
  4.00E+02  1.56E-16  9.04E-17  3.51E-17  1.97E-17  2.59E-17  2.67E-19  4.53E-18  1.05E-21  1.42E-16
  3.50E+02  2.10E-16  1.20E-16  5.26E-17  2.57E-17  3.09E-17  3.56E-19  5.90E-18  1.56E-21  1.73E-16
